ministry,mean,se,n
Prime Minister,2.31,0.20,12
Finance,1.88,0.13,12
Foreign Affairs,1.60,0.10,12
Environment,1.33,0.08,12
Economic Affairs,1.27,0.11,12
Interior,1.23,0.08,12
Taxation,1.22,0.09,12
Justice,1.17,0.09,12
Business & Industry,1.10,0.08,11
Social Affairs,1.09,0.06,12
Employment,1.03,0.06,12
Food & Agriculture,1.00,0.05,12
Defence,0.97,0.05,12
Education,0.94,0.04,12
Health,0.90,0.08,12
Transport,0.89,0.08,11
Business & Industry,0.87,0.06,10
Transport,0.87,0.08,12
Energy & Climate,0.83,0.09,12
Housing & Urban Affairs,0.78,0.06,12
European Affairs,0.77,0.17,10
Culture,0.68,0.05,12
Trade & Investment,0.59,0.09,10
Research & Science,0.58,0.07,12
Development & Foreign Aid,0.56,0.06,12
Communication & Tourism,0.53,0.10,11
Fisheries,0.53,0.06,12
Nordic Affairs,0.38,0.08,11
Ecclesiastical Affairs,0.37,0.05,12
Greenland Affairs,0.32,0.06,10
Minister without Portfolio,0.31,0.11,8
