id,year,majortopic,subtopic,description,filter_eu,var2,var3,var4,var5_1,var5_2,var5_3,var5_4,var5_5,var5_6,var5_7,var5_8,var5_9,var5_10,var5_11,var5_12,var5_13,var5_14,var5_15,var5_16,var5_17,var5_21,var6,var7,var8_1,var8_2,var8_3,var8_4,var8_5,var8_6,var8_7,var8_8,var8_9,var8_10,var8_11,var8_12,var8_13,var8_14,var8_15,var8_16,var9,var10,var15,var16,var17,var18,var19,var20,calendar_year,var14
354,1973,20,2002,Forslag til folketingsbeslutning om en forvaltningslov.,0,1,18,1,99,99,99,99,99,0,99,99,99,99,1,99,99,99,0,99,,,99,3,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,23,2,9,10,,,2002,2002,1973,10/9/1973
341,1973,20,2011,Forlketingsbeslutning om folketingets samtykke i henhold til Grundlovens �57.,0,1,11,2,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,,,6,1,1,1,1,99,99,1,99,99,99,99,1,99,99,99,1,99,0,2,11,10,,,2011,2011,1973,10/11/1973
355,1973,1,110,Forslag til folketingsbslutning om foranstaltninger mod inflation.,0,1,19,1,0,0,0,99,99,0,99,99,99,99,1,99,99,99,0,99,,,99,3,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,0,2,12,10,,,110,110,1973,10/12/1973
349,1973,10,1003,Forslag til folketingsbeslutning om Danmarks ratifikation af overenskomst af 8. juni 1973 mellem Danmark og Sverige om lufttrafiktjeneste m.m i anledning af en dansk lufthavn p� Saltholm.,0,1,13,2,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,,,18,3,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,0,1,30,10,,,1003,1003,1973,10/30/1973
351,1973,5,504,Forslag til folketingsbeslutning om arbejdspladsdemokrati.,0,1,15,1,0,0,0,99,99,1,99,99,99,99,0,99,99,99,0,99,,,99,3,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,0,2,30,10,,,504,504,1973,10/30/1973
348,1973,10,1002,Forslag til folketingsbeslutning om Danmarks ratifikaion af overenskomst af 8. juni 1973 mellem Danmark og Sverige om faste forbindelser over �resund.,0,1,12,2,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,,,18,3,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,0,1,30,10,,,1002,1002,1973,10/30/1973
350,1973,5,504,Forslag til folketingsbeslutning om l�nmodtagernes andel i merv�rdien og etablering af l�nmodtagerfond.,0,1,14,1,0,0,0,99,99,1,99,99,99,99,0,99,99,99,0,99,,,99,3,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,0,2,30,10,,,504,504,1973,10/30/1973
352,1973,1,104,Forslag til folketingsbelutning om samfundsstyring af kapitalmarkedet.,0,1,16,1,0,0,0,99,99,1,99,99,99,99,0,99,99,99,0,99,,,99,3,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,0,2,30,10,,,104,104,1973,10/30/1973
345,1973,20,2002,Forslag til folketingsbeslutning ang�ende folketingets ombudsmands beretning for �ret 1972.,0,1,11,3,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,,,99,3,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,0,2,1,11,,,2002,2002,1973,11/1/1973
343,1973,19,1926,Folketingsbeslutning om beretninger ang�ende Nordisk R�ds 19. og 20. session 1971 og 1972 samt f�rste samling af 21. session 1973.,0,1,12,3,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,,,99,1,1,1,1,99,99,1,99,99,99,99,1,99,99,99,1,99,29,2,2,11,,,1926,1926,1973,11/2/1973
353,1973,14,1406,Forslag til folketingsbeslutning om  indf�relse af andelslejligheder i almennyttigt byggeri.,0,1,17,1,0,0,0,99,99,0,99,99,99,99,1,99,99,99,0,99,,,99,3,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,0,2,8,11,,,1406,1406,1973,11/8/1973
399,1973,8,803,Forslag til folketingsbeslutning om et statsligt olieselskab.,0,2,230,1,0,0,0,0,0,1,0,99,99,0,0,99,99,0,0,0,,,99,3,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,13,2,18,12,,,803,803,1973,12/18/1973
362,1973,20,2012,Folketingsbeslutning ang�ende indstilling fra det forel�beige udvalg til pr�velse af valgene.,0,2,26,3,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,,,99,1,1,1,1,1,1,1,1,99,99,1,1,99,99,1,1,1,40,2,18,12,,,2012,2012,1973,12/18/1973
397,1973,8,800,Forslag til folketingsbeslutning om l�sning af energiproblemet.,0,2,229,1,0,0,0,0,0,0,1,99,99,0,0,99,99,0,0,0,,,99,3,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,13,2,18,12,,,800,800,1973,12/18/1973
388,1973,5,504,Forslag til folketingsbeslutning om tilbagef�ring af arbejdsformidlingen til fagbev�gelse.,0,2,220,1,0,0,0,0,0,0,1,99,99,0,0,99,99,0,0,0,,,99,3,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,25,2,8,1,,,504,504,1974,1/8/1974
392,1973,14,1400,Forslag til folketingsbeslutning om oph�velse af bygge- og anl�gsstoppet.,0,2,224,1,0,0,0,0,0,0,1,99,99,0,0,99,99,0,0,0,,,99,3,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,32,2,11,1,,,1400,1400,1974,1/11/1974
409,1973,10,1000,Forslag til folketingsbeslutning om nyvurdering af lufthavnen p� Saltholm og broen over saltholm.,0,2,240,1,0,1,0,0,0,0,0,99,99,0,0,99,99,0,0,0,,,99,3,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,74,2,18,1,,,1000,1000,1974,1/18/1974
393,1973,14,1400,"Forslag til folketingsbeslutning om stop for alle huslejeforh�jelser, forbud mod opsigesle af lejere og forbud mod opdeling af ejendomme i ejerlejligheder.",0,2,225,1,0,0,0,0,0,0,1,99,99,0,0,99,99,0,0,0,,,99,3,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,13,2,23,1,,,1400,1400,1974,1/23/1974
365,1973,20,2002,Folketingsbeslutning ang�ende folketingets ombudsmands beretning for �ret 1972.,0,2,29,3,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,,,99,1,1,1,1,1,1,1,1,99,99,1,1,99,99,2,1,1,11,2,24,1,,,2002,2002,1974,1/24/1974
366,1973,20,2002,Valg af folketingets ombudsmand.,0,2,210,3,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,,,99,1,1,1,1,1,1,1,1,99,99,1,1,99,99,2,1,1,1,2,24,1,,,2002,2002,1974,1/24/1974
375,1973,1,107,Forslag til folketingsbeslutning om indf�relse af enhedsskat.,0,2,27,1,0,0,0,0,0,1,0,99,99,0,0,99,99,0,0,0,,,99,3,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,15,2,30,1,,,107,107,1974,1/30/1974
372,1973,10,1003,Forslag til folketingsbeslutning om danmarks ratifikation  af overenskomst af 8. juni 1973 mellem Danmark og Sverige om lufttrafiktjeneste mm i anledning af anl�g af en dansk lufthavn p� Salthold.,0,2,24,2,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,,,18,3,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,17,1,30,1,,,1003,1003,1974,1/30/1974
379,1973,1,107,Forslag til folketingsbeslutning om oph�velse af sambeskatning.,0,2,211,1,0,0,0,0,0,0,0,99,99,0,0,99,99,0,0,1,,,99,3,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,10,2,30,1,,,107,107,1974,1/30/1974
382,1973,1,107,Forslag til folketingsbeslutning om afskaffelse af afskrivningsfordele for deltagere i kommanditselskaber.,0,2,214,1,0,0,0,0,0,1,0,99,99,0,0,99,99,0,0,0,,,99,3,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,11,2,30,1,,,107,107,1974,1/30/1974
370,1973,10,1002,Forslag til folketingsbeslutning om Danmarks ratifikation af overenskomst af 16. oktober 1973 mellem Danmark og Sverige om sp�rgsm�l vedr�rende told og merv�rdiafgift i forbindelse med bygning og drift af faste forbindelser over �resund.,0,2,22,2,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,,,3,3,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,3,1,30,1,,,1002,1002,1974,1/30/1974
383,1973,14,1401,Forslag til folketingsbeslutning om en reform af ejerbolgernes skattem�ssige fordele.,0,2,215,1,0,0,0,0,0,1,0,99,99,0,0,99,99,0,0,0,,,99,3,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,17,2,30,1,,,1411,1411,1974,1/30/1974
371,1973,10,1002,Forslag til folketingsbeslutning om Danmarks ratifikation af overenskomst af 8. juni 1973 mellem Danmark og Sverige om faste forbindelser over Storeb�lt.,0,2,23,2,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,,,18,3,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,17,1,30,1,,,1002,1002,1974,1/30/1974
390,1973,5,501,Forslag til folketingsbeslutning om �ndring af arbejderbeskyttelsesloven.,0,2,222,1,0,0,0,0,0,1,0,99,99,0,0,99,99,0,0,0,,,99,3,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,21,2,31,1,,,501,501,1974,1/31/1974
380,1973,1,107,Forslag til folketingsbeslutning om opgivelse af alle bruttoindkomster til ligningsmyndighederne.,0,2,212,1,0,0,0,0,0,1,0,99,99,0,0,99,99,0,0,0,,,99,3,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,25,2,1,2,,,107,107,1974,2/1/1974
