id,year,majortopic,subtopic,description,filter_eu,var2,var3,var5,day,month,var15,var17,var18,var98_questionname,calendar_year,var14
27,1997,13,1303,Om tilsynspligt med plejehjem,0,34,3404,5,22,10,,1303,1303,,1997,10/22/1997
30,1997,12,1206,Om kriminelle unge,0,34,3403,5,22,10,,1206,1206,,1997,10/22/1997
28,1997,12,1206,Om kriminelle unge,0,34,3402,5,22,10,,1206,1206,,1997,10/22/1997
31,1997,9,900,Om bistandshjælp til indvandrer o flygtninge,0,34,3401,5,22,10,,900,230,,1997,10/22/1997
12,1997,4,403,Om salmonellebakterier i fødevarer,0,34,3408,16,29,10,,403,403,,1997,10/29/1997
38,1997,3,332,Om blodtransfusioner til mindreårige,0,34,3407,14,29,10,,332,332,,1997,10/29/1997
29,1997,9,900,Om børnetilskud til pensionister af udenlandske herkomst,0,34,3405,5,29,10,,900,230,,1997,10/29/1997
36,1997,3,342,Om børns og unge alkoholforbrug,0,34,3411,14,29,10,,342,342,,1997,10/29/1997
10,1997,4,405,Om vækstfremm i landbrugsproduktionen,0,34,3406,16,29,10,,405,405,,1997,10/29/1997
39,1997,3,322,Om tryghed for sygehuspatienter,0,34,3409,14,29,10,,322,322,,1997,10/29/1997
11,1997,4,405,Om svineproduktion,0,34,3410,16,29,10,,406,406,,1997,10/29/1997
15,1997,2,208,Om aktindsigti personalemapper,0,34,3413,6,5,11,,208,208,,1997,11/5/1997
16,1997,12,1210,Om straf for biltyverier,0,34,3416,6,5,11,,1210,1210,,1997,11/5/1997
17,1997,12,1205,Om en fængselsreform,0,34,3414,6,5,11,,1205,1205,,1997,11/5/1997
18,1997,12,1201,Om ekstrabevilling til politiet,0,34,3415,6,5,11,,1201,1201,,1997,11/5/1997
19,1997,12,1205,Om flugt fra fængsler,0,34,3412,6,5,11,,1205,1205,,1997,11/5/1997
33,1997,9,900,Om stramninger af udlændingeloven,0,34,3420,1,19,11,,900,230,,1997,11/19/1997
32,1997,9,900,Om stramninger af udlændingeloven,0,34,3417,1,19,11,,900,230,,1997,11/19/1997
34,1997,15,1500,Om nye byrder på erhvervslivet,0,34,3418,1,19,11,,1500,1500,,1997,11/19/1997
35,1997,9,900,Om stramninger af udlændingeloven,0,34,3419,1,19,11,,900,230,,1997,11/19/1997
45,1997,6,601,Om demokrati på universiteterne,0,34,3423,15,26,11,,601,601,,1997,11/26/1997
42,1997,6,602,Om dansk undervisning i folkeskolen,0,34,3421,15,26,11,,602,602,,1997,11/26/1997
7,1997,15,1599,Om bevillinger til dansk standard,0,34,3422,12,26,11,,1599,1599,,1997,11/26/1997
6,1997,5,500,Om erhvervslivest administrative byrder,0,34,3424,12,26,11,,500,500,,1997,11/26/1997
25,1997,8,802,Om liberaliserign af el-sektoren,0,34,3427,9,3,12,,802,802,,1997,12/3/1997
24,1997,8,802,Om liberalisering af el-sektoren,0,34,3425,9,3,12,,802,802,,1997,12/3/1997
26,1997,8,802,Om liberalisering af el-sektoren,0,34,3428,9,3,12,,802,802,,1997,12/3/1997
23,1997,7,700,Om vandmiljøplanen,0,34,3426,9,3,12,,700,700,,1997,12/3/1997
8,1997,13,1303,Om den sociale pensionsfond,0,34,3429,3,10,12,,1303,1303,,1997,12/10/1997
44,1997,6,601,Om universitet i Syddanmark,0,34,3433,15,14,1,,601,601,,1998,1/14/1998
13,1997,9,900,Om taxichauførers statsborgerskab,0,34,3431,7,14,1,,900,230,,1998,1/14/1998
43,1997,6,601,Om udlevering af gratisøl til de studerende i Herning,0,34,3432,15,14,1,,601,601,,1998,1/14/1998
14,1997,9,900,Om antallet af tilbagesendte somaliere,0,34,3430,7,14,1,,900,230,,1998,1/14/1998
22,1997,23,2300,Om helhedsplan for det kongelige teater,0,34,3436,12,21,1,,2300,609,,1998,1/21/1998
20,1997,23,2300,Om ombygning af det kongelige teater,0,34,3435,21,21,1,,2300,609,,1998,1/21/1998
21,1997,23,2300,Om teaterfuglen,0,34,3434,12,21,1,,2300,609,,1998,1/21/1998
40,1997,19,1921,Om Danmarks Kina Politik,0,34,3437,2,28,1,,1907,1907,,1998,1/28/1998
41,1997,19,1921,Om Danmarks Kina politik,0,34,3438,2,28,1,,1907,1907,,1998,1/28/1998
5,1997,5,504,Om eksklusivaftaler,0,34,3439,4,4,2,,504,504,,1998,2/4/1998
3,1997,5,502,Om opnomering af aktiveringsjob til normale job,0,34,3440,4,4,2,,502,502,,1998,2/4/1998
4,1997,5,503,Om reform af dagpenge systemet,0,34,3442,4,4,2,,507,507,,1998,2/4/1998
2,1997,5,599,Om flaskehalse på arbejdsmarkedet,0,34,3441,4,4,2,,508,508,,1998,2/4/1998
9,1997,4,405,Om nedslagtning af salmonelleramte besætninger,0,34,3443,16,18,2,,405,405,,1998,2/18/1998
56,1997,20,2011,Om undgåelse af lovsjusk,0,35,3501,6,1,4,,2011,2011,,1998,4/1/1998
55,1997,12,1201,Om sletteregleri strafferegisteret,0,35,3504,6,1,4,,1201,1201,,1998,4/1/1998
54,1997,12,1210,Om misforhold ved straffeudmåling,0,35,3503,6,1,4,,1210,1210,,1998,4/1/1998
53,1997,12,1205,Om isolationsfængsling,0,35,3502,6,1,4,,1205,1205,,1998,4/1/1998
52,1997,4,408,Om Fiskeriforskningsinstituttet,0,35,3506,16,15,4,,408,408,,1998,4/15/1998
51,1997,4,402,Om offentlig finansiering af nedslagtninger,0,35,3505,16,15,4,,402,402,,1998,4/15/1998
65,1997,10,1002,Om nordjyske motorveje,0,35,3507,18,22,4,,1002,1002,,1998,4/22/1998
62,1997,10,1005,Om linjeføringen København-Ringsted,0,35,3510,18,22,4,,1005,1005,,1998,4/22/1998
64,1997,20,2003,Om postvæsenets service,0,35,3509,18,22,4,,2003,2003,,1998,4/22/1998
63,1997,7,705,Om reduktion af CO2 udslippet,0,35,3508,18,22,4,,705,705,,1998,4/22/1998
49,1997,6,601,Om universitetet i Syddanmark,0,35,3511,28,29,4,,601,601,,1998,4/29/1998
58,1997,19,1929,Om personkontrol ved græsen,1,35,3516,1,6,5,,1929,1929,,1998,5/6/1998
59,1997,5,504,Om indgreb i den frie forhandlingsret,0,35,3514,1,6,5,,504,504,,1998,5/6/1998
60,1997,10,1002,Om udbygning af vejnettet,0,35,3515,1,6,5,,1002,1002,,1998,5/6/1998
